,FIELDNAME,LAT,LON
0,33/9-6 DELTA,0,0
1,ALBUSKJELL,0,0
2,ALVE,0,0
3,ALVHEIM,0,0
4,ATLA,0,0
5,BALDER,0,0
6,BLANE,56.847683,2.498706
7,BRAGE,60.58,3.02
8,BRYNHILD,0,0
9,BYRDING,0,0
10,BØYLA,0,0
11,COD,0,0
12,DRAUGEN,64.211142,7.465738
13,EDDA,0,0
14,EDVARD GRIEG,0,0
15,EKOFISK,56.325711,3.123595
16,ELDFISK,0,0
17,EMBLA,0,0
18,ENOCH,0,0
19,FLYNDRE,0,0
20,FRAM,0,0
21,FRAM H-NORD,0,0
22,FRIGG,0,0
23,FRØY,0,0
24,GAUPE,0,0
25,GIMLE,0,0
26,GINA KROG,61.195651,3.534855
27,GJØA,0,0
28,GLITNE,0,0
29,GOLIAT,71.3,22.3
30,GRANE,59.2,2.49
31,GUDRUN,0,0
32,GULLFAKS,0,0
33,GULLFAKS SØR,0,0
34,GUNGNE,0,0
35,GYDA,0,0
36,HEIDRUN,65.1933,7.193
37,HEIMDAL,0,0
38,HOD,0,0
39,HULDRA,0,0
40,HYME,0,0
41,ISLAY,0,0
42,IVAR AASEN,0,0
43,JETTE,0,0
44,JOTUN,0,0
45,KNARR,0,0
46,KRISTIN,0,0
47,KVITEBJØRN,0,0
48,LILLE-FRIGG,0,0
49,MARIA,0,0
50,MARULK,0,0
51,MIKKEL,0,0
52,MIME,0,0
53,MORVIN,0,0
54,MURCHISON,0,0
55,NJORD,0,0
56,NORDØST FRIGG,0,0
57,NORNE,0,0
58,ODIN,0,0
59,ORMEN LANGE,0,0
60,OSEBERG,0,0
61,OSEBERG SØR,0,0
62,OSEBERG ØST,0,0
63,OSELVAR,0,0
64,REV,0,0
65,RINGHORNE ØST,0,0
66,SIGYN,0,0
67,SINDRE,0,0
68,SKARV,0,0
69,SKIRNE,0,0
70,SKULD,0,0
71,SLEIPNER VEST,0,0
72,SLEIPNER ØST,0,0
73,SNORRE,0,0
74,SNØHVIT,0,0
75,STATFJORD,61.152,1.5107
76,STATFJORD NORD,61.152,1.5114
77,STATFJORD ØST,61.152,1.512
78,SVALIN,0,0
79,SYGNA,0,0
80,TAMBAR,0,0
81,TOMMELITEN GAMMA,0,0
82,TOR,0,0
83,TORDIS,0,0
84,TROLL,0,0
85,TRYM,0,0
86,TUNE,0,0
87,TYRIHANS,0,0
88,ULA,0,0
89,URD,0,0
90,VALE,0,0
91,VALEMON,0,0
92,VALHALL,0,0
93,VARG,0,0
94,VEGA,0,0
95,VESLEFRIKK,0,0
96,VEST EKOFISK,0,0
97,VIGDIS,0,0
98,VILJE,0,0
99,VISUND,0,0
100,VISUND SØR,0,0
101,VOLUND,0,0
102,VOLVE,0,0
103,YME,0,0
104,YTTERGRYTA,0,0
105,ØST FRIGG,0,0
106,ÅSGARD,0,0
