FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes,Cumulative Oil Production Volumes,Cumulative Gas Production Volumes,Cumulative Water Production Volumes
BRAGE,60.58,3.02,1993-09-01T00:00:00.000Z,30810.0,1839.9999999999998,0.0,30810.0,1839.9999999999998,0.0
BRAGE,60.58,3.02,1993-10-01T00:00:00.000Z,231810.0,12040.0,0.0,262620.0,13880.0,0.0
BRAGE,60.58,3.02,1993-11-01T00:00:00.000Z,374290.0,21470.0,0.0,636910.0,35350.0,0.0
BRAGE,60.58,3.02,1993-12-01T00:00:00.000Z,420839.99999999994,26090.0,0.0,1057750.0,61440.0,0.0
BRAGE,60.58,3.02,1994-01-01T00:00:00.000Z,414550.0,24880.000000000004,0.0,1472300.0,86320.0,0.0
BRAGE,60.58,3.02,1994-02-01T00:00:00.000Z,388400.0,24569.999999999996,0.0,1860700.0,110890.0,0.0
BRAGE,60.58,3.02,1994-03-01T00:00:00.000Z,423789.99999999994,27460.0,0.0,2284490.0,138350.0,0.0
BRAGE,60.58,3.02,1994-04-01T00:00:00.000Z,409210.0,26440.0,0.0,2693700.0,164790.0,0.0
BRAGE,60.58,3.02,1994-05-01T00:00:00.000Z,467480.0,29370.0,0.0,3161180.0,194160.0,0.0
BRAGE,60.58,3.02,1994-06-01T00:00:00.000Z,464500.0,28919.999999999996,0.0,3625680.0,223080.0,0.0
BRAGE,60.58,3.02,1994-07-01T00:00:00.000Z,482089.99999999994,33920.0,0.0,4107770.0,257000.0,0.0
BRAGE,60.58,3.02,1994-08-01T00:00:00.000Z,479680.0,32080.000000000004,0.0,4587450.0,289080.0,0.0
BRAGE,60.58,3.02,1994-09-01T00:00:00.000Z,467310.00000000006,32470.0,0.0,5054760.0,321550.0,0.0
BRAGE,60.58,3.02,1994-10-01T00:00:00.000Z,477440.0,33389.99999999999,0.0,5532200.0,354940.0,0.0
BRAGE,60.58,3.02,1994-11-01T00:00:00.000Z,465160.0,31570.0,0.0,5997360.0,386510.0,0.0
BRAGE,60.58,3.02,1994-12-01T00:00:00.000Z,477830.00000000006,30289.999999999996,0.0,6475190.0,416800.0,0.0
BRAGE,60.58,3.02,1995-01-01T00:00:00.000Z,481139.99999999994,31850.000000000004,0.0,6956330.0,448650.0,0.0
BRAGE,60.58,3.02,1995-02-01T00:00:00.000Z,442500.0,30230.0,0.0,7398830.0,478880.0,0.0
BRAGE,60.58,3.02,1995-03-01T00:00:00.000Z,476890.0,31310.000000000004,0.0,7875720.0,510190.0,0.0
BRAGE,60.58,3.02,1995-04-01T00:00:00.000Z,489560.00000000006,41550.0,0.0,8365280.0,551740.0,0.0
BRAGE,60.58,3.02,1995-05-01T00:00:00.000Z,478039.99999999994,37930.0,0.0,8843320.0,589670.0,0.0
BRAGE,60.58,3.02,1995-06-01T00:00:00.000Z,398380.0,34420.0,0.0,9241700.0,624090.0,0.0
BRAGE,60.58,3.02,1995-07-01T00:00:00.000Z,599720.0,48830.0,0.0,9841420.0,672920.0,0.0
BRAGE,60.58,3.02,1995-08-01T00:00:00.000Z,600100.0,49290.0,0.0,10441520.0,722210.0,0.0
BRAGE,60.58,3.02,1995-09-01T00:00:00.000Z,583230.0,47660.0,0.0,11024750.0,769870.0,0.0
BRAGE,60.58,3.02,1995-10-01T00:00:00.000Z,602540.0,56229.99999999999,0.0,11627290.0,826100.0,0.0
BRAGE,60.58,3.02,1995-11-01T00:00:00.000Z,576520.0,49540.0,0.0,12203810.0,875640.0,0.0
BRAGE,60.58,3.02,1995-12-01T00:00:00.000Z,595569.9999999999,55150.0,0.0,12799380.0,930790.0,0.0
BRAGE,60.58,3.02,1996-01-01T00:00:00.000Z,594720.0,51430.0,0.0,13394100.0,982220.0,0.0
BRAGE,60.58,3.02,1996-02-01T00:00:00.000Z,546560.0,49420.0,0.0,13940660.0,1031640.0,0.0
BRAGE,60.58,3.02,1996-03-01T00:00:00.000Z,603440.0,56350.0,0.0,14544100.0,1087990.0,0.0
BRAGE,60.58,3.02,1996-04-01T00:00:00.000Z,583140.0,57910.0,0.0,15127240.0,1145900.0,0.0
BRAGE,60.58,3.02,1996-05-01T00:00:00.000Z,602569.9999999999,57660.0,0.0,15729810.0,1203560.0,0.0
BRAGE,60.58,3.02,1996-06-01T00:00:00.000Z,535460.0,53310.0,0.0,16265270.0,1256870.0,0.0
BRAGE,60.58,3.02,1996-07-01T00:00:00.000Z,540860.0,58360.0,0.0,16806130.0,1315230.0,0.0
BRAGE,60.58,3.02,1996-08-01T00:00:00.000Z,488010.00000000006,53800.0,0.0,17294140.0,1369030.0,0.0
BRAGE,60.58,3.02,1996-09-01T00:00:00.000Z,491239.99999999994,58820.00000000001,0.0,17785380.0,1427850.0,0.0
BRAGE,60.58,3.02,1996-10-01T00:00:00.000Z,528420.0,58050.0,0.0,18313800.0,1485900.0,0.0
BRAGE,60.58,3.02,1996-11-01T00:00:00.000Z,539870.0,56940.0,0.0,18853670.0,1542840.0,0.0
BRAGE,60.58,3.02,1996-12-01T00:00:00.000Z,386990.0,35490.0,0.0,19240660.0,1578330.0,0.0
BRAGE,60.58,3.02,1997-01-01T00:00:00.000Z,591350.0,57040.0,0.0,19832010.0,1635370.0,0.0
BRAGE,60.58,3.02,1997-02-01T00:00:00.000Z,532930.0,48650.0,0.0,20364940.0,1684020.0,0.0
BRAGE,60.58,3.02,1997-03-01T00:00:00.000Z,594600.0,56220.00000000001,0.0,20959540.0,1740240.0,0.0
BRAGE,60.58,3.02,1997-04-01T00:00:00.000Z,547480.0,57660.0,0.0,21507020.0,1797900.0,0.0
BRAGE,60.58,3.02,1997-05-01T00:00:00.000Z,516939.99999999994,53120.00000000001,0.0,22023960.0,1851020.0,0.0
BRAGE,60.58,3.02,1997-06-01T00:00:00.000Z,326780.0,32389.999999999996,0.0,22350740.0,1883410.0,0.0
BRAGE,60.58,3.02,1997-07-01T00:00:00.000Z,470039.99999999994,45680.0,0.0,22820780.0,1929090.0,0.0
BRAGE,60.58,3.02,1997-08-01T00:00:00.000Z,492110.00000000006,47590.0,0.0,23312890.0,1976680.0,0.0
BRAGE,60.58,3.02,1997-09-01T00:00:00.000Z,484950.0,51320.00000000001,0.0,23797840.0,2028000.0,0.0
BRAGE,60.58,3.02,1997-10-01T00:00:00.000Z,484450.0,55210.0,0.0,24282290.0,2083210.0,0.0
BRAGE,60.58,3.02,1997-11-01T00:00:00.000Z,460340.0,56080.0,0.0,24742630.0,2139290.0,0.0
BRAGE,60.58,3.02,1997-12-01T00:00:00.000Z,411550.0,55150.0,0.0,25154180.0,2194440.0,0.0
BRAGE,60.58,3.02,1998-01-01T00:00:00.000Z,585070.0,59960.0,0.0,25739250.0,2254400.0,0.0
BRAGE,60.58,3.02,1998-02-01T00:00:00.000Z,526069.9999999999,52850.0,0.0,26265320.0,2307250.0,0.0
BRAGE,60.58,3.02,1998-03-01T00:00:00.000Z,526069.9999999999,57500.0,0.0,26791390.0,2364750.0,0.0
BRAGE,60.58,3.02,1998-04-01T00:00:00.000Z,482020.0,50140.0,0.0,27273410.0,2414890.0,0.0
BRAGE,60.58,3.02,1998-05-01T00:00:00.000Z,487589.99999999994,44780.0,0.0,27761000.0,2459670.0,0.0
BRAGE,60.58,3.02,1998-06-01T00:00:00.000Z,495310.0,44120.0,0.0,28256310.0,2503790.0,0.0
BRAGE,60.58,3.02,1998-07-01T00:00:00.000Z,489160.00000000006,41910.0,0.0,28745470.0,2545700.0,0.0
BRAGE,60.58,3.02,1998-08-01T00:00:00.000Z,459230.0,40900.0,0.0,29204700.0,2586600.0,0.0
BRAGE,60.58,3.02,1998-09-01T00:00:00.000Z,404260.0,39340.0,0.0,29608960.0,2625940.0,0.0
BRAGE,60.58,3.02,1998-10-01T00:00:00.000Z,418280.00000000006,40530.0,0.0,30027240.0,2666470.0,0.0
BRAGE,60.58,3.02,1998-11-01T00:00:00.000Z,359740.0,32070.0,0.0,30386980.0,2698540.0,0.0
BRAGE,60.58,3.02,1998-12-01T00:00:00.000Z,342350.0,33150.0,0.0,30729330.0,2731690.0,0.0
BRAGE,60.58,3.02,1999-01-01T00:00:00.000Z,339680.00000000006,32750.0,0.0,31069010.0,2764440.0,0.0
BRAGE,60.58,3.02,1999-02-01T00:00:00.000Z,319770.0,26650.0,0.0,31388780.0,2791090.0,0.0
BRAGE,60.58,3.02,1999-03-01T00:00:00.000Z,325090.0,29030.0,0.0,31713870.0,2820120.0,0.0
BRAGE,60.58,3.02,1999-04-01T00:00:00.000Z,390880.0,31750.0,0.0,32104750.0,2851870.0,0.0
BRAGE,60.58,3.02,1999-05-01T00:00:00.000Z,371910.0,32020.0,0.0,32476660.0,2883890.0,0.0
BRAGE,60.58,3.02,1999-06-01T00:00:00.000Z,221669.99999999997,20390.000000000004,0.0,32698330.0,2904280.0,0.0
BRAGE,60.58,3.02,1999-07-01T00:00:00.000Z,362200.0,31320.0,0.0,33060530.0,2935600.0,0.0
BRAGE,60.58,3.02,1999-08-01T00:00:00.000Z,334800.0,27389.999999999996,0.0,33395330.0,2962990.0,0.0
BRAGE,60.58,3.02,1999-09-01T00:00:00.000Z,299600.0,23130.0,0.0,33694930.0,2986120.0,0.0
BRAGE,60.58,3.02,1999-10-01T00:00:00.000Z,290060.0,22150.0,0.0,33984990.0,3008270.0,0.0
BRAGE,60.58,3.02,1999-11-01T00:00:00.000Z,258990.0,19900.0,0.0,34243980.0,3028170.0,0.0
BRAGE,60.58,3.02,1999-12-01T00:00:00.000Z,311230.0,25010.0,0.0,34555210.0,3053180.0,0.0
BRAGE,60.58,3.02,2000-01-01T00:00:00.000Z,235019.99999999997,22580.000000000004,409850.0,34790230.0,3075760.0,409850.0
BRAGE,60.58,3.02,2000-02-01T00:00:00.000Z,238769.99999999997,24760.0,455240.0,35029000.0,3100520.0,865090.0
BRAGE,60.58,3.02,2000-03-01T00:00:00.000Z,218690.0,24370.0,420080.0,35247690.0,3124890.0,1285170.0
BRAGE,60.58,3.02,2000-04-01T00:00:00.000Z,213360.0,22310.0,419369.99999999994,35461050.0,3147200.0,1704540.0
BRAGE,60.58,3.02,2000-05-01T00:00:00.000Z,243709.99999999997,23880.000000000004,449400.0,35704760.0,3171080.0,2153940.0
BRAGE,60.58,3.02,2000-06-01T00:00:00.000Z,230319.99999999997,22080.000000000004,430289.99999999994,35935080.0,3193160.0,2584230.0
BRAGE,60.58,3.02,2000-07-01T00:00:00.000Z,230069.99999999997,23730.0,419080.0,36165150.0,3216890.0,3003310.0
BRAGE,60.58,3.02,2000-08-01T00:00:00.000Z,229640.0,23500.0,430550.0,36394790.0,3240390.0,3433860.0
BRAGE,60.58,3.02,2000-09-01T00:00:00.000Z,200130.0,22850.0,389190.00000000006,36594920.0,3263240.0,3823050.0
BRAGE,60.58,3.02,2000-10-01T00:00:00.000Z,194720.0,24310.0,394600.0,36789640.0,3287550.0,4217650.0
BRAGE,60.58,3.02,2000-11-01T00:00:00.000Z,209050.0,25150.0,399430.0,36998690.0,3312700.0,4617080.0
BRAGE,60.58,3.02,2000-12-01T00:00:00.000Z,203409.99999999997,21330.0,405670.0,37202100.0,3334030.0,5022750.0
BRAGE,60.58,3.02,2001-01-01T00:00:00.000Z,233319.99999999997,26940.0,536510.0,37435420.0,3360970.0,5559260.0
