FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes
ALBA,58.05803,1.079633,1994-03-01,142134.0,6.6916229000000005,2192.0
ALBA,58.05803,1.079633,1994-04-01,166535.0,9.13010467,25516.0
ALBA,58.05803,1.079633,1994-05-01,160681.0,9.31176806,23496.0
ALBA,58.05803,1.079633,1994-06-01,198771.0,9.99649933,24628.0
ALBA,58.05803,1.079633,1994-07-01,248810.0,12.57100081,51591.0
ALBA,58.05803,1.079633,1994-08-01,302562.0,15.97149355,55576.0
ALBA,58.05803,1.079633,1994-09-01,263385.0,13.55154267,41648.0
ALBA,58.05803,1.079633,1994-10-01,245728.0,12.97997129,25658.0
ALBA,58.05803,1.079633,1994-11-01,298077.0,16.43089233,43544.0
ALBA,58.05803,1.079633,1994-12-01,307588.0,15.33354516,29864.0
ALBA,58.05803,1.079633,1995-01-01,290179.0,14.75597403,44888.0
ALBA,58.05803,1.079633,1996-01-01,370303.0,19.91993839,88249.0
ALBA,58.05803,1.079633,1996-02-01,344054.0,18.71329672,107100.0
ALBA,58.05803,1.079633,1996-03-01,355621.0,18.30684032,121819.0
ALBA,58.05803,1.079633,1996-04-01,329807.0,18.14013833,114755.0
ALBA,58.05803,1.079633,1996-05-01,311586.0,16.62652984,61187.0
ALBA,58.05803,1.079633,1996-06-01,334563.0,17.58098417,86368.0
ALBA,58.05803,1.079633,1996-07-01,333544.0,17.71559887,111046.0
ALBA,58.05803,1.079633,1996-08-01,196000.0,9.20354468,106332.0
ALBA,58.05803,1.079633,1996-09-01,278452.0,15.34554467,156912.0
ALBA,58.05803,1.079633,1996-10-01,376831.0,19.67501177,201881.0
ALBA,58.05803,1.079633,1996-11-01,394759.0,21.372638000000002,206509.0
ALBA,58.05803,1.079633,1997-11-01,440841.0,24.19312933,367271.0
ALBA,58.05803,1.079633,1997-12-01,484944.0,24.71024726,389593.0
ALBA,58.05803,1.079633,1998-01-01,455061.0,23.80344919,366176.0
ALBA,58.05803,1.079633,1998-02-01,436461.0,25.06356,353569.0
ALBA,58.05803,1.079633,1998-03-01,473074.0,23.45827355,446953.0
ALBA,58.05803,1.079633,1998-04-01,459441.0,24.964173499999998,460740.0
ALBA,58.05803,1.079633,1998-05-01,423660.0,23.13929935,442606.0
ALBA,58.05803,1.079633,1998-06-01,290205.0,16.58627833,309373.0
ALBA,58.05803,1.079633,1998-07-01,363772.0,19.6533671,230581.0
ALBA,58.05803,1.079633,1998-08-01,403340.0,22.47287113,463720.0
ALBA,58.05803,1.079633,1998-09-01,365068.0,21.59041383,488510.0
ALBA,58.05803,1.079633,1996-12-01,436101.0,23.26574984,216101.0
ALBA,58.05803,1.079633,1997-01-01,487717.0,25.45186226,251529.0
ALBA,58.05803,1.079633,1997-02-01,400874.0,23.94357,259268.0
ALBA,58.05803,1.079633,1997-03-01,444099.0,24.06204613,309257.0
ALBA,58.05803,1.079633,1997-04-01,395844.0,22.20489483,314590.0
ALBA,58.05803,1.079633,1997-05-01,436092.0,24.21583726,392361.0
ALBA,58.05803,1.079633,1997-06-01,476127.0,26.892372499999997,375706.0
ALBA,58.05803,1.079633,1997-07-01,381079.0,20.79825661,371101.0
ALBA,58.05803,1.079633,1997-08-01,395605.0,21.53645403,427190.0
ALBA,58.05803,1.079633,1997-09-01,410642.0,22.57570233,308468.0
ALBA,58.05803,1.079633,1997-10-01,517621.0,28.18250919,427177.0
ALBA,58.05803,1.079633,1995-02-01,385382.0,21.1360275,57354.0
ALBA,58.05803,1.079633,1995-03-01,387547.0,17.96963903,85401.0
ALBA,58.05803,1.079633,1995-04-01,334818.0,17.81053167,71139.0
ALBA,58.05803,1.079633,1995-05-01,216846.0,11.29396484,42088.0
ALBA,58.05803,1.079633,1995-06-01,327121.0,20.61218833,45710.0
ALBA,58.05803,1.079633,1995-07-01,319969.0,16.85322935,71764.0
ALBA,58.05803,1.079633,1995-08-01,301065.0,16.14465097,77684.0
ALBA,58.05803,1.079633,1995-09-01,316081.0,17.07362533,44867.0
ALBA,58.05803,1.079633,1995-10-01,343801.0,17.816987100000002,57653.0
ALBA,58.05803,1.079633,1995-11-01,366631.0,19.62689983,69821.0
ALBA,58.05803,1.079633,1995-12-01,432752.0,21.48632952,97865.0
ALBA,58.05803,1.079633,1994-01-01,21848.0,1.11868806,0.0
ALBA,58.05803,1.079633,1994-02-01,102465.0,6.1019275,475.0
ALBA,58.05803,1.079633,2007-09-01,132345.0,8.53445833,782809.0
ALBA,58.05803,1.079633,2007-10-01,185612.0,11.76445177,1194736.0
ALBA,58.05803,1.079633,2007-11-01,185611.0,12.155422999999999,1194736.0
ALBA,58.05803,1.079633,2007-12-01,164587.0,10.52728758,1089723.0
ALBA,58.05803,1.079633,2008-01-01,196685.0,12.34430129,1344672.0
ALBA,58.05803,1.079633,2008-02-01,184371.0,12.769416900000001,1259908.0
ALBA,58.05803,1.079633,1998-10-01,300428.0,17.26333903,527478.0
ALBA,58.05803,1.079633,2013-09-01,31358.0,2.3908255,331307.0
ALBA,58.05803,1.079633,2013-10-01,84384.0,7.08464468,865032.0
ALBA,58.05803,1.079633,2013-11-01,96347.0,7.1654135,1021782.0
ALBA,58.05803,1.079633,2013-12-01,84997.0,7.14616113,1064200.0
ALBA,58.05803,1.079633,2014-01-01,84962.0,7.68272129,956983.0
ALBA,58.05803,1.079633,2014-02-01,69693.0,6.8738125,959664.0
ALBA,58.05803,1.079633,2014-03-01,84452.0,7.97777242,1195141.0
ALBA,58.05803,1.079633,2014-04-01,82052.0,7.32550817,1130648.0
ALBA,58.05803,1.079633,2014-05-01,78179.0,5.65267839,935764.0
ALBA,58.05803,1.079633,2014-06-01,77964.0,6.02591617,1048642.0
ALBA,58.05803,1.079633,2014-07-01,83509.0,6.02861226,1039505.0
ALBA,58.05803,1.079633,2008-03-01,197115.0,12.88086145,1405372.0
ALBA,58.05803,1.079633,2008-04-01,193192.0,12.882912,1326457.0
ALBA,58.05803,1.079633,2008-05-01,190855.0,12.2019021,1287123.0
ALBA,58.05803,1.079633,2008-06-01,152213.0,10.297854,1015988.0
ALBA,58.05803,1.079633,2008-07-01,185633.0,12.0606421,1194682.0
ALBA,58.05803,1.079633,2008-08-01,201807.0,12.93212516,1324033.0
ALBA,58.05803,1.079633,2008-09-01,186334.0,12.50033283,1200911.0
ALBA,58.05803,1.079633,2008-10-01,56752.0,3.66820323,354187.0
ALBA,58.05803,1.079633,2008-11-01,120564.0,8.21662333,672328.0
ALBA,58.05803,1.079633,2008-12-01,136418.0,9.29695855,821848.0
ALBA,58.05803,1.079633,2009-01-01,151653.0,10.0818629,993684.0
ALBA,58.05803,1.079633,2009-02-01,132720.0,9.403880000000001,882098.0
ALBA,58.05803,1.079633,2009-03-01,156331.0,10.25615952,1137866.0
ALBA,58.05803,1.079633,2009-04-01,159703.0,10.95235867,1212056.0
ALBA,58.05803,1.079633,2009-05-01,175274.0,11.31447032,1247936.0
ALBA,58.05803,1.079633,2009-06-01,164132.0,10.96295317,1256351.0
ALBA,58.05803,1.079633,2009-07-01,194522.0,12.77263806,1381576.0
ALBA,58.05803,1.079633,2009-08-01,161216.0,10.56146339,1143177.0
ALBA,58.05803,1.079633,2009-09-01,97358.0,6.86405883,729191.0
ALBA,58.05803,1.079633,2009-10-01,153209.0,10.08641968,1162216.0
ALBA,58.05803,1.079633,2009-11-01,168683.0,12.05065517,1378344.0
ALBA,58.05803,1.079633,2009-12-01,164725.0,11.18801984,1449192.0
ALBA,58.05803,1.079633,2010-01-01,157751.0,10.80183323,1444179.0
