FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Dry Gas Production Volumes,Associated Gas Production Volumes,Water Production Volumes
ALBA,58.05803,1.079633,1994-03-15T00:00:00.000Z,142134.0,0.0,6.6916229000000005,2192.0
ALBA,58.05803,1.079633,1994-04-15T00:00:00.000Z,166535.0,0.0,9.13010467,25516.0
ALBA,58.05803,1.079633,1994-05-15T00:00:00.000Z,160681.0,0.0,9.31176806,23496.0
ALBA,58.05803,1.079633,1994-06-15T00:00:00.000Z,198771.0,0.0,9.99649933,24628.0
ALBA,58.05803,1.079633,1994-07-15T00:00:00.000Z,248810.0,0.0,12.57100081,51591.0
ALBA,58.05803,1.079633,1994-08-15T00:00:00.000Z,302562.0,0.0,15.97149355,55576.0
ALBA,58.05803,1.079633,1994-09-15T00:00:00.000Z,263385.0,0.0,13.55154267,41648.0
ALBA,58.05803,1.079633,1994-10-15T00:00:00.000Z,245728.0,0.0,12.97997129,25658.0
ALBA,58.05803,1.079633,1994-11-15T00:00:00.000Z,298077.0,0.0,16.43089233,43544.0
ALBA,58.05803,1.079633,1994-12-15T00:00:00.000Z,307588.0,0.0,15.33354516,29864.0
ALBA,58.05803,1.079633,1995-01-15T00:00:00.000Z,290179.0,0.0,14.75597403,44888.0
ALBA,58.05803,1.079633,1996-01-15T00:00:00.000Z,370303.0,0.0,19.91993839,88249.0
ALBA,58.05803,1.079633,1996-02-15T00:00:00.000Z,344054.0,0.0,18.71329672,107100.0
ALBA,58.05803,1.079633,1996-03-15T00:00:00.000Z,355621.0,0.0,18.30684032,121819.0
ALBA,58.05803,1.079633,1996-04-15T00:00:00.000Z,329807.0,0.0,18.14013833,114755.0
ALBA,58.05803,1.079633,1996-05-15T00:00:00.000Z,311586.0,0.0,16.62652984,61187.0
ALBA,58.05803,1.079633,1996-06-15T00:00:00.000Z,334563.0,0.0,17.58098417,86368.0
ALBA,58.05803,1.079633,1996-07-15T00:00:00.000Z,333544.0,0.0,17.71559887,111046.0
ALBA,58.05803,1.079633,1996-08-15T00:00:00.000Z,196000.0,0.0,9.20354468,106332.0
ALBA,58.05803,1.079633,1996-09-15T00:00:00.000Z,278452.0,0.0,15.34554467,156912.0
ALBA,58.05803,1.079633,1996-10-15T00:00:00.000Z,376831.0,0.0,19.67501177,201881.0
ALBA,58.05803,1.079633,1996-11-15T00:00:00.000Z,394759.0,0.0,21.372638000000002,206509.0
ALBA,58.05803,1.079633,1997-11-15T00:00:00.000Z,440841.0,0.0,24.19312933,367271.0
ALBA,58.05803,1.079633,1997-12-15T00:00:00.000Z,484944.0,0.0,24.71024726,389593.0
ALBA,58.05803,1.079633,1998-01-15T00:00:00.000Z,455061.0,0.0,23.80344919,366176.0
ALBA,58.05803,1.079633,1998-02-15T00:00:00.000Z,436461.0,0.0,25.06356,353569.0
ALBA,58.05803,1.079633,1998-03-15T00:00:00.000Z,473074.0,0.0,23.45827355,446953.0
ALBA,58.05803,1.079633,1998-04-15T00:00:00.000Z,459441.0,0.0,24.964173499999998,460740.0
ALBA,58.05803,1.079633,1998-05-15T00:00:00.000Z,423660.0,0.0,23.13929935,442606.0
ALBA,58.05803,1.079633,1998-06-15T00:00:00.000Z,290205.0,0.0,16.58627833,309373.0
ALBA,58.05803,1.079633,1998-07-15T00:00:00.000Z,363772.0,0.0,19.6533671,230581.0
ALBA,58.05803,1.079633,1998-08-15T00:00:00.000Z,403340.0,0.0,22.47287113,463720.0
ALBA,58.05803,1.079633,1998-09-15T00:00:00.000Z,365068.0,0.0,21.59041383,488510.0
ALBA,58.05803,1.079633,1996-12-15T00:00:00.000Z,436101.0,0.0,23.26574984,216101.0
ALBA,58.05803,1.079633,1997-01-15T00:00:00.000Z,487717.0,0.0,25.45186226,251529.0
ALBA,58.05803,1.079633,1997-02-15T00:00:00.000Z,400874.0,0.0,23.94357,259268.0
ALBA,58.05803,1.079633,1997-03-15T00:00:00.000Z,444099.0,0.0,24.06204613,309257.0
ALBA,58.05803,1.079633,1997-04-15T00:00:00.000Z,395844.0,0.0,22.20489483,314590.0
ALBA,58.05803,1.079633,1997-05-15T00:00:00.000Z,436092.0,0.0,24.21583726,392361.0
ALBA,58.05803,1.079633,1997-06-15T00:00:00.000Z,476127.0,0.0,26.892372499999997,375706.0
ALBA,58.05803,1.079633,1997-07-15T00:00:00.000Z,381079.0,0.0,20.79825661,371101.0
ALBA,58.05803,1.079633,1997-08-15T00:00:00.000Z,395605.0,0.0,21.53645403,427190.0
ALBA,58.05803,1.079633,1997-09-15T00:00:00.000Z,410642.0,0.0,22.57570233,308468.0
ALBA,58.05803,1.079633,1997-10-15T00:00:00.000Z,517621.0,0.0,28.18250919,427177.0
ALBA,58.05803,1.079633,1995-02-15T00:00:00.000Z,385382.0,0.0,21.1360275,57354.0
ALBA,58.05803,1.079633,1995-03-15T00:00:00.000Z,387547.0,0.0,17.96963903,85401.0
