,FIELDNAME,LAT,LON
0,ALBA,58.05803,1.079633
1,AFFLECK,0,0
2,ANDREW,58.05,1.15
3,ALMA,0,0
4,ALDER,0,0
5,ANGUS,0,0
6,ARBROATH,0,0
7,ARGYLL,0,0
8,ARDMORE,0,0
9,AUK,56.24,2.04
10,ATHENA,0,0
11,ATLANTIC,0,0
12,ARKWRIGHT,0,0
13,BANFF,0,0
14,BEATRICE,0,0
15,BALMORAL,0,0
16,BARDOLINO,0,0
17,AUK NORTH,0,0
18,BACCHUS,0,0
19,AVIAT,0,0
20,BALLOCH,0,0
21,BEINN,0,0
22,BLAKE,0,0
23,BRAE-CENTRAL [Part of BRAE],58.7,1.3
24,BIRCH,0,0
25,BITTERN,0,0
26,BEAULY,0,0
27,BLACKBIRD,0,0
28,BLADON,0,0
29,BLENHEIM,0,0
30,BLANE,56.847683,2.498706
31,BLAIR,0,0
32,BRAE-NORTH [Part of BRAE],58.7,1.30002
33,BRAE-SOUTH [Part of BRAE],58.7,1.2999
34,BRAEMAR,0,0
35,BRIMMOND,0,0
36,BRENDA,0,0
37,BRITANNIA,0,0
38,BRECHIN,0,0
39,BRODGAR,0,0
40,BURGHLEY,0,0
41,CALLANISH,0,0
42,CAPTAIN,0,0
43,CARNOUSTIE,0,0
44,BUCHAN,57.48,0.000001
45,CALEDONIA,0,0
46,CHANTER,0,0
47,BUZZARD,0,0
48,BURGMAN,0,0
49,CATCHER,0,0
50,CAYLEY,0,0
51,CLAPHAM,0,0
52,CLAYMORE,0,0
53,CHESTNUT,0,0
54,CLYDE,0,0
55,CURLEW B + D,0,0
56,CROMARTY,0,0
57,COOK,0,0
58,CRATHES,0,0
59,DUNCAN,0,0
60,EAST BRAE,0,0
61,DONAN [MAERSK],0,0
62,EGRET,0,0
63,CURLEW C,0,0
64,DRAKE,57.96002,1.816
65,DUART,0,0
66,DAUNTLESS,0,0
67,DONAN,0,0
68,ELGIN,57.1,2
69,CYRUS,58.05002,1.15
70,DURWARD,0,0
71,FIFE,0,0
72,FORTIES,57.716667,1.016667
73,EVEREST,54.6103,54.6103
74,FLORA,0,0
75,FERGUS,0,0
76,ERSKINE,0,0
77,ENOCHDHU,0,0
78,FLEMING,57.96,1.816
79,ENOCH,0,0
80,FLYNDRE,0,0
81,FARRAGON,58.49998,1.15
82,ETTRICK,0,0
83,FULMAR,56.29,Ê2.800
84,GADWALL,0,0
85,GANNET A,0,0
86,FRANKLIN,57.101,2.01
87,GALLEY,0,0
88,GANNET C,0,0
89,GANNET E,0,0
90,GANNET G,0,0
91,GANNET B,0,0
92,GALIA,0,0
93,GANNET F,0,0
94,GLAMIS,0,0
95,GANNET D,0,0
96,GODWIN,0,0
97,GOLDEN EAGLE,57.58,0.55
98,GUILLEMOT A,0,0
99,GUILLEMOT NORTH WEST,0,0
100,HAMISH,0,0
101,GLENELG,0,0
102,GUILLEMOT WEST,0,0
103,HALLEY,0,0
104,GROUSE,0,0
105,HERON,0,0
106,HOWE,0,0
107,GOOSANDER,0,0
108,IONA,0,0
109,HANNAY,0,0
110,HIGHLANDER,0,0
111,HAWKINS,57.96001,1.816
112,GOLDENEYE,0,0
113,INNES,0,0
114,HUNTINGTON,0,0
115,IVANHOE,0,0
116,JAMES,0,0
117,JOANNE,0,0
118,JADE,0,0
119,JASMINE,0,0
120,JUDY,0,0
121,KYLE,0,0
122,KITTIWAKE,0,0
123,JANICE,0,0
124,KINGFISHER,0,0
125,JACKY,0,0
126,MACCULLOCH,0,0
127,MADOES,0,0
128,MALLARD,0,0
129,LOMOND,0,0
130,LEVEN,0,0
131,LARCH,0,0
132,LYBSTER,0,0
133,LOCHRANZA,0,0
134,MACHAR,0,0
135,MILLER,58.75,1.33
136,MARIA,0,0
137,MAUREEN,0,0
138,MOIRA,0,0
139,MARNOCK [pt. of MARNOCK-SKUA],0,0
140,MEDWIN,0,0
141,MERGANSER,0,0
142,MONAN,0,0
143,MIRREN,0,0
144,MAULE,0,0
145,ORION,0,0
146,MONTROSE,0,0
147,NELSON,0,0
148,NICOL,0,0
149,MUNGO,0,0
150,PETRONELLA,0,0
151,NETHAN,0,0
152,PEREGRINE,0,0
153,ROB ROY,0,0
154,SALTIRE,0,0
155,PICT,0,0
156,PIPER,0,0
157,ROCHELLE,0,0
158,RUBIE,0,0
159,RENEE,0,0
160,PIERCE,0,0
161,ROSS,0,0
162,SCOTT,0,0
163,SEYMOUR,57.96,1.816003
164,SKUA [pt. of MARNOCK-SKUA],0,0
165,SOLITAIRE,0,0
166,STARLING,0,0
167,SCAPA,0,0
168,SCOTER,0,0
169,SHAW,0,0
170,SHEARWATER,0,0
171,SAXON,0,0
172,SCOLTY,0,0
173,SEDGWICK [PT. OF WEST BRAE],0,0
174,SHELLEY,0,0
175,STIRLING,0,0
176,TARTAN,0,0
177,TEAL,0,0
178,TEAL SOUTH,0,0
179,TELFORD,0,0
180,WOOD,0,0
181,SYCAMORE,0,0
182,THELMA,0,0
183,STELLA,0,0
184,TIFFANY,0,0
185,TWEEDSMUIR,0,0
186,WEST BRAE,0,0
187,BAINS,0,0
188,TONTO,0,0
189,VARADERO,0,0
190,TONI,0,0
191,CALDER,0,0
192,TWEEDSMUIR SOUTH,0,0
193,HAMILTON,0,0
194,HAMILTON NORTH,0,0
195,MILLOM,0,0
196,DOUGLAS,0,0
197,DALTON,0,0
198,DOUGLAS WEST,0,0
199,NORTH MORECAMBE,0,0
200,LENNOX,0,0
201,HAMILTON EAST,0,0
202,BERYL,0,0
203,BARRA,0,0
204,RHYL,0,0
205,WYTCH FARM,0,0
206,ALWYN NORTH,0,0
207,ARUNDEL,0,0
208,CONWY,0,0
209,SOUTH MORECAMBE,0,0
210,BRENT,0,0
211,BROOM,0,0
212,BUCKLAND,0,0
213,BRUCE,0,0
214,COLUMBA B/D,0,0
215,CAUSEWAY,0,0
216,CLADHAN,0,0
217,BOA,0,0
218,CALLATER,0,0
219,COLUMBA D,0,0
220,COLUMBA E,0,0
221,CORMORANT EAST,0,0
222,CORMORANT NORTH,0,0
223,CRAWFORD,0,0
224,DEVERON,0,0
225,DEVENICK,0,0
226,DON,0,0
227,CONRIE,0,0
228,DUNBAR,0,0
229,DUNLIN,0,0
230,EIDER,0,0
231,DUNLIN SOUTH WEST,0,0
232,ELLON,0,0
233,DON SOUTH WEST,0,0
234,GRYPHON,0,0
235,HEATHER,0,0
236,GRANT,0,0
237,FALCON,0,0
238,FIONN,0,0
239,HARDING,59.15,1.3
240,FORVIE NORTH,0,0
241,FRIGG,0,0
242,KESTREL,0,0
243,HUDSON,0,0
244,LYELL,0,0
245,ISLAY,0,0
246,JURA,0,0
247,HUTTON,0,0
248,KEITH,0,0
249,LOIRSTON,0,0
250,EMERALD,0,0
251,HARRIS,0,0
252,MACLURE,0,0
253,MAGNUS,0,0
254,LINNHE,0,0
255,MURCHISON,0,0
256,MAGNUS SOUTH,0,0
257,MERLIN,0,0
258,LEADON,0,0
259,KINNOULL,58.49996,1.15
260,KRAKEN NORTH,0,0
261,KRAKEN,0,0
262,NESS,0,0
263,NINIAN,0,0
264,NORTHWEST HUTTON,0,0
265,OSPREY,0,0
266,NUGGETS N1,0,0
267,OTTER,0,0
268,NEVIS,0,0
269,PENGUIN WEST,0,0
270,SKENE,0,0
271,SOUTH CORMORANT,0,0
272,PELICAN,0,0
273,PLAYFAIR,0,0
274,PENGUIN EAST,0,0
275,STATFJORD,0,0
276,STRATHSPEY,0,0
277,RHUM,0,0
278,TERN,0,0
279,THISTLE,0,0
280,STAFFA,0,0
281,TULLICH,0,0
282,AMETHYST WEST,53.58,0
283,APOLLO,0,0.37
284,ARTHUR,0,0
285,ANN,0,0
286,WEST DON,0,0
287,YTHAN,0,0
288,AMETHYST EAST,0,0
289,ALISON-KX [CONOCOPHILLIPS],0,0
290,ANGLIA,53.33333,1.58333
291,ALISON [CENTRICA],0,0
292,AUDREY,0,0
293,BAIRD,0,0
294,BELL [PERENCO],0,0
295,BESSEMER,0,0
296,BELL [CONOCOPHILLIPS],0,0
297,BARQUE,0,0
298,BEAUFORT,0,0
299,BOULTON,0,0
300,BARQUE SOUTH,0,0
301,BABBAGE,0,0
302,BURE,0,0
303,BRIGANTINE C,0,0
304,BROWN,0,0
305,BOYLE,0,0
306,CAISTER [BUNTER],0,0
307,BURE WEST [Part of BURE],0,0
308,BREAGH,0,0
309,BRIGANTINE B,0,0
310,BOULTON H,0,0
311,CAISTER [CARBONIFEROUS],0,0
312,CAMELOT CENTRAL SOUTH,0,0
313,CERES,0,0
314,CARAVEL,0,0
315,CHISWICK,0,0
316,CAMELOT NORTH EAST,0,0
317,BRIGANTINE A,0,0
318,BRIGANTINE D,0,0
319,CLEETON,0,0
320,CLIPPER NORTH,0,0
321,CALLISTO,0,0
322,CALLISTO NORTH,0,0
323,CAMELOT NORTH,0,0
324,CAVENDISH,0,0
325,CARRACK,0,0
326,EAST SEAN,0,0
327,CLIPPER SOUTH,0,0
328,DAWN,0,0
329,DAVY,0,0
330,DEBEN,0,0
331,DELILAH,0,0
332,CYGNUS,0,0
333,CUTTER,0,0
